,KE0 0 battery,KE0 1 battery,KE0 2 battery,KE0 3 battery,KE0 4 battery,KE0 5 battery,KE0 6 battery,KE0 7 battery,KE0 8 battery,KE1 0 battery
81,62887438.76516624,62914386.88033961,62913635.14335857,62894981.13902405,62940372.43635396,62920064.60868729,62923650.593964554,62909555.41147048,62887428.93820093,63068184.37533579
82,62887438.765166245,62914386.8803396,62913635.143358566,62894981.13902406,62940372.43635396,62920064.60868729,62923650.593964554,62909555.41147047,62887428.93820092,63068473.3098983
83,62887438.765166245,62914386.88033961,62913635.143358566,62894981.13902406,62940372.43635397,62920064.60868729,62923650.59396456,62909555.41147047,62887428.93820092,63068782.848489046
84,62887438.76516625,62914386.8803396,62913635.14335856,62894981.139024064,62940372.43635396,62920064.60868729,62923650.59396456,62909555.41147048,62887428.93820092,63069092.38707978
85,62887438.765166245,62914386.880339585,62913635.14335855,62894981.13902405,62940372.43635395,62920064.608687274,62923650.593964554,62909555.411470465,62887428.938200906,63068931.95171921
86,62887438.765166245,62914386.880339585,62913635.14335856,62894981.13902405,62940372.43635395,62920064.608687274,62923650.593964554,62909555.41147047,62887428.93820091,63068738.82469585
87,62887438.765166245,62914386.88033959,62913635.143358566,62894981.13902405,62940372.43635396,62920064.60868727,62923650.59396456,62909555.41147047,62887428.93820092,63068585.21619931
88,62887438.765166245,62914386.88033959,62913635.143358566,62894981.13902405,62940372.43635396,62920064.608687274,62923650.593964554,62909555.41147047,62887428.93820091,63068435.26773237
89,62887438.76516625,62914386.88033959,62913635.14335857,62894981.13902404,62940372.43635396,62920064.60868727,62923650.59396456,62909555.41147046,62887428.93820091,63068295.78389007
90,62887438.76516625,62914386.88033959,62913635.14335857,62894981.13902404,62940372.43635396,62920064.60868726,62923650.593964554,62909555.41147046,62887428.93820091,63068572.0075713
91,62887438.76516625,62914386.880339585,62913635.143358566,62894981.13902404,62940372.43635395,62920064.60868725,62923650.59396454,62909555.41147046,62887428.938200906,63068881.54616204
92,62887438.76516625,62914386.88033959,62913635.143358566,62894981.139024034,62940372.43635395,62920064.60868725,62923650.59396455,62909555.41147045,62887428.93820091,63069191.08475278
93,62887438.765166245,62914386.880339585,62913635.14335856,62894981.13902403,62940372.43635394,62920064.60868724,62923650.59396454,62909555.41147045,62887428.938200906,63069034.28663382
94,62887438.76516625,62914386.880339585,62913635.14335856,62894981.139024034,62940372.43635393,62920064.60868724,62923650.59396454,62909555.41147045,62887428.938200906,63068845.76514732
95,62887438.76516625,62914386.88033958,62913635.14335856,62894981.139024034,62940372.43635394,62920064.60868723,62923650.593964525,62909555.41147046,62887428.938200906,63068692.505325444
96,62887438.76516625,62914386.88033957,62913635.14335856,62894981.139024034,62940372.43635393,62920064.60868724,62923650.593964525,62909555.41147045,62887428.9382009,63068542.35396465
97,62887438.76516625,62914386.88033958,62913635.143358566,62894981.139024034,62940372.43635394,62920064.60868724,62923650.59396453,62909555.41147045,62887428.938200906,63068386.14345123
98,62887438.76516625,62914386.88033958,62913635.14335857,62894981.13902403,62940372.43635394,62920064.60868722,62923650.593964525,62909555.41147044,62887428.9382009,63068510.69957744
99,62887438.76516625,62914386.880339585,62913635.14335857,62894981.13902403,62940372.43635395,62920064.60868722,62923650.59396453,62909555.41147044,62887428.938200906,63068820.23816819
100,62887438.76516625,62914386.880339585,62913635.143358566,62894981.139024034,62940372.436353944,62920064.60868723,62923650.59396454,62909555.41147045,62887428.938200906,63069129.776758924
101,62887438.765166245,62914386.88033958,62913635.14335855,62894981.13902402,62940372.43635394,62920064.608687215,62923650.59396453,62909555.41147042,62887428.93820089,63068974.17431643
102,62887438.765166245,62914386.88033958,62913635.14335854,62894981.13902402,62940372.43635393,62920064.608687215,62923650.59396453,62909555.41147042,62887428.9382009,63068785.52983741
103,62887438.76516625,62914386.88033958,62913635.14335855,62894981.13902403,62940372.43635393,62920064.60868722,62923650.59396453,62909555.41147043,62887428.9382009,63068627.68304353
104,62887438.76516625,62914386.88033957,62913635.14335855,62894981.13902403,62940372.43635393,62920064.60868722,62923650.59396453,62909555.41147041,62887428.9382009,63068473.40114509
105,62887438.76516625,62914386.88033957,62913635.14335855,62894981.13902403,62940372.43635394,62920064.608687215,62923650.593964525,62909555.41147041,62887428.938200906,63068331.70467519
