,KE0 0 battery charger,KE0 1 battery charger,KE0 2 battery charger,KE0 3 battery charger,KE0 4 battery charger,KE0 5 battery charger,KE0 6 battery charger,KE0 7 battery charger,KE0 8 battery charger,KE1 0 battery charger,KE0 0 battery discharger,KE0 1 battery discharger,KE0 2 battery discharger,KE0 3 battery discharger,KE0 4 battery discharger,KE0 5 battery discharger,KE0 6 battery discharger,KE0 7 battery discharger,KE0 8 battery discharger,KE1 0 battery discharger
40,-1.1047621726952152e-09,-1.1063582661500901e-09,-1.1075433336954666e-09,-1.0974594627637098e-09,-1.1071718756386759e-09,-1.1058091102056488e-09,-1.1101577663812956e-09,-1.1063270301285667e-09,-1.1076433016914983e-09,-6.781555233678045e-10,-1.204872496196407e-09,-1.2025430422291839e-09,-1.2013188249069542e-09,-1.214060106401989e-09,-1.2020500858821599e-09,-1.2037317893387502e-09,-1.1980601189211166e-09,-1.2029733650737661e-09,-1.2009876208070224e-09,-48.051171354751645
41,-1.1047711745958992e-09,-1.1063619247341118e-09,-1.1075482747847641e-09,-1.0974731725840117e-09,-1.1071768880392503e-09,-1.1058143614757598e-09,-1.1101656317115679e-09,-1.1063304119458692e-09,-1.107650969821755e-09,-6.781555228646328e-10,-1.2048730200028761e-09,-1.202541943537791e-09,-1.2013155939961037e-09,-1.2140598931003862e-09,-1.2020499442814303e-09,-1.203732200496074e-09,-1.1980604521439753e-09,-1.2029720303031098e-09,-1.2009908336081453e-09,-40.998460052568234
42,-1.1047130587294712e-09,-1.1063042945134172e-09,-1.1075275471887939e-09,-1.0974187097519988e-09,-1.1071255789086237e-09,-1.105804543115682e-09,-1.11013913186499e-09,-1.1062732334710135e-09,-1.107647990284812e-09,-103.17953024792418,-1.2050677494779038e-09,-1.2027134103215995e-09,-1.2015385082381561e-09,-1.2144086618853539e-09,-1.2022407418445217e-09,-1.2039153010779428e-09,-1.1983207819460026e-09,-1.203146333894244e-09,-1.2011537140176327e-09,-5.553094867474997e-11
43,-2.760314810950174e-09,-2.7600848914321205e-09,-2.7602142728144722e-09,-2.7605481514081296e-09,-2.7603554387721415e-09,-2.7603896511396317e-09,-2.7601455319876968e-09,-2.7602985721116624e-09,-2.760108427560322e-09,-103.17953024792418,-1.2467372857382556e-10,-1.246380692519459e-10,-1.2461834460442817e-10,-1.2481534267640358e-10,-1.2462960154068563e-10,-1.2465490067114373e-10,-1.245682944671124e-10,-1.2464402996454868e-10,-1.2461341076337936e-10,-5.5530948737843425e-11
44,-2.7603150111586986e-09,-2.76008484352433e-09,-2.7602144832799196e-09,-2.7605485161354705e-09,-2.7603553663675575e-09,-2.7603896748611293e-09,-2.7601456656373173e-09,-2.7602985152185396e-09,-2.76010852849515e-09,-100.1728663408951,-1.2467278891892676e-10,-1.2463757078306108e-10,-1.246176788538782e-10,-1.2481271344787546e-10,-1.246292059456393e-10,-1.2465445164489078e-10,-1.245675102920571e-10,-1.2464354441532387e-10,-1.2461300222445216e-10,-7.064120551106458e-10
45,-5.557950881496632e-10,-5.563313284836727e-10,-5.56715590925136e-10,-5.533599594486368e-10,-5.565914698337962e-10,-5.56136155762431e-10,-5.575809328368069e-10,-5.563121010521658e-10,-5.567574927339185e-10,-6.781555238336403e-10,-2.1576746134829665e-09,-2.156027341774429e-09,-2.1553790852481616e-09,-2.16362737433404e-09,-2.1559146568556238e-09,-2.156981859266548e-09,-2.153276912814993e-09,-2.156452889431042e-09,-2.1550349682543298e-09,-57.67441075092538
46,-1.1047710481342108e-09,-1.1063623230496051e-09,-1.1075423218175485e-09,-1.097418759821442e-09,-1.1071801222166366e-09,-1.1058112674711722e-09,-1.1101337057380133e-09,-1.1063312841281354e-09,-1.1076479208054475e-09,-6.781555240267186e-10,-1.2048740034355297e-09,-1.2025426924874629e-09,-1.2013275309157443e-09,-1.214105081517586e-09,-1.202050875747936e-09,-1.203730557343726e-09,-1.1980850311864764e-09,-1.202972979446937e-09,-1.20098694353472e-09,-60.47721705178225
47,-1.1047702021769621e-09,-1.1063635813000631e-09,-1.1075480422646258e-09,-1.0974693398667148e-09,-1.1071771863482098e-09,-1.1058131051936552e-09,-1.1101673503502945e-09,-1.1063324293855412e-09,-1.1076481838199312e-09,-6.781555235008525e-10,-1.2048744475094934e-09,-1.2025451493675409e-09,-1.2013176972283358e-09,-1.2140611784264733e-09,-1.2020511549471476e-09,-1.203733244024651e-09,-1.198060230651134e-09,-1.2029757434297445e-09,-1.2009882118703117e-09,-50.5018716122213
48,-1.104762071089501e-09,-1.1063567467731594e-09,-1.1075390499948913e-09,-1.0974694315478364e-09,-1.1071730415883815e-09,-1.1058096121390291e-09,-1.1101647800249869e-09,-1.1063256222113058e-09,-1.1076448194743748e-09,-6.781555234636984e-10,-1.2048744094183194e-09,-1.2025446827043138e-09,-1.2013144281965357e-09,-1.2140652725184096e-09,-1.202051822994386e-09,-1.2037329190361891e-09,-1.1980616179955332e-09,-1.2029752296583725e-09,-1.2009890592474614e-09,-49.49059560894455
49,-1.1047746284124047e-09,-1.106362741645362e-09,-1.1075459542830803e-09,-1.0974430612592862e-09,-1.1071808575422675e-09,-1.1058162395132698e-09,-1.110143875381623e-09,-1.1063307734362083e-09,-1.1076529187780803e-09,-6.781555229687249e-10,-1.2048752981638142e-09,-1.2025429340455337e-09,-1.2013345781090405e-09,-1.2140697223992162e-09,-1.2020512307514945e-09,-1.203732120079261e-09,-1.198064394273642e-09,-1.2029730520059665e-09,-1.2009905981751858e-09,-42.17597274653818
