,KE0 0 battery,KE0 1 battery,KE0 2 battery,KE0 3 battery,KE0 4 battery,KE0 5 battery,KE0 6 battery,KE0 7 battery,KE0 8 battery,KE1 0 battery
58,1.5037097807069448e-10,1.4634707221412096e-10,1.438560031244102e-10,1.6727839921992274e-10,1.4501279578159907e-10,1.4812268632034628e-10,1.3785012171989276e-10,1.4682169986711265e-10,1.4341593284497602e-10,-82.96923388599103
59,1.502906878424744e-10,1.4629622493121584e-10,1.4380982375870722e-10,1.6708692457588045e-10,1.4498731458213903e-10,1.4799628891993654e-10,1.3788136921926831e-10,1.4677637103282324e-10,1.4329810796800267e-10,-103.17953024786634
60,1.5040186631578498e-10,1.4636676248131832e-10,1.4391693163737593e-10,1.674212940014893e-10,1.4503905481216463e-10,1.4815164883748022e-10,1.3795981460538264e-10,1.468385028000674e-10,1.4343700350386195e-10,-103.17953024786634
61,3.0413010099673284e-09,3.041007557261757e-09,3.041118496027271e-09,3.041746591673884e-09,3.0412830966401456e-09,3.041355411749178e-09,3.0409761253641385e-09,3.0412427255817604e-09,3.0409995307597918e-09,49.762676707604136
62,1.5043557187207833e-10,1.4642064330455155e-10,1.440503071891138e-10,1.6742254630064483e-10,1.450816914691842e-10,1.4822614208594642e-10,1.3802889775501967e-10,1.4690034472296125e-10,1.4351869489966425e-10,64.64768155128566
63,1.5032173183141097e-10,1.4630098619566201e-10,1.4383062414544126e-10,1.6717742837559612e-10,1.4497187693214662e-10,1.4807920856493218e-10,1.3780946928187351e-10,1.467807836331933e-10,1.433853103062159e-10,52.68191310663535
64,1.5032793438555643e-10,1.4630702102254273e-10,1.4383698428471346e-10,1.6718729614821702e-10,1.4497702727177642e-10,1.4808249753986099e-10,1.3782127243776508e-10,1.4678685068433468e-10,1.433890701640432e-10,51.55270375871596
65,1.5032076115265843e-10,1.4630078053557935e-10,1.4385116623507247e-10,1.672682918949523e-10,1.4497122597753263e-10,1.4807687453672944e-10,1.3787554392299849e-10,1.467805122497658e-10,1.4338434303565945e-10,48.56176214960726
66,1.5034296626192626e-10,1.4631679688267554e-10,1.438338999719136e-10,1.6723474199165391e-10,1.4498313708358324e-10,1.480842242092669e-10,1.3782486711619116e-10,1.467941440342131e-10,1.4338450061868101e-10,-88.30169549873467
67,1.508090633383208e-10,1.4671741839593153e-10,1.4422332726887905e-10,1.679539942884602e-10,1.4539556865875336e-10,1.4843741439423198e-10,1.3834848383775542e-10,1.4719872144031517e-10,1.436577249860043e-10,-103.17953024786634
68,1.5039269262883636e-10,1.4636004789736056e-10,1.439036212895207e-10,1.6737039738828137e-10,1.4503487081308343e-10,1.481434230684788e-10,1.3793549079282678e-10,1.4683678683792184e-10,1.4342584509642236e-10,-103.17953024786634
69,3.0413011744126867e-09,3.041007718097021e-09,3.041118648486906e-09,3.041746757331753e-09,3.0412832619944405e-09,3.041355556280292e-09,3.0409762931207574e-09,3.0412428864853766e-09,3.0409996784412947e-09,51.480307171808256
70,1.6918099519052114e-09,1.6895625348309755e-09,1.6884794007427256e-09,1.700551578304038e-09,1.6891905999776783e-09,1.6907195288568119e-09,1.6855542105275458e-09,1.690021952491524e-09,1.6880753941455258e-09,64.61845661273485
