,1 hydro,2 hydro,3 hydro,4 hydro,5 hydro
154,1.8439050830971809e-06,1.8375636476659148e-06,1.8591797008335564e-06,1.7643776535828344e-06,0.0009616045079313421
155,1.8429354295357996e-06,1.8365311711508155e-06,1.8583801071312855e-06,1.7628266683043354e-06,0.0009620535795180057
156,1.8427136196007568e-06,1.83640921504864e-06,1.8580353618847413e-06,1.7625784467905786e-06,0.0009613742814139149
157,1.8424113179353052e-06,1.8364017004289522e-06,1.8573697106457229e-06,1.7650215768464313e-06,0.0009597139941338771
158,1.843508225824614e-06,1.837416377411708e-06,1.8585288993335654e-06,1.7684633243298353e-06,0.0009603098932378349
159,1.8465002899737352e-06,1.8401679930445008e-06,1.861664791041699e-06,1.7712498453411903e-06,0.0009618970321230403
160,1.8464599651382453e-06,1.8401881284477648e-06,1.8615445917352555e-06,1.7702503820338964e-06,0.0009615590016218275
161,1.8448867093368693e-06,1.8387408428567418e-06,1.8599101824637313e-06,1.7664726016618664e-06,0.0009607351386662128
162,1.8439161513027811e-06,1.8374970293463292e-06,1.8593883397541813e-06,1.760833756860727e-06,0.0009621266607482934
163,1.8400293021434767e-06,1.8339846030003607e-06,1.8552038960883993e-06,1.756652480672493e-06,0.0009596803985122654
164,1.8362716793906628e-06,1.83089631556136e-06,1.8507538815437486e-06,1.7572947033730785e-06,0.0009554690522491274
165,1.8382601945061006e-06,1.8328322859382262e-06,1.8527251815584931e-06,1.7610187548005823e-06,0.0009560183191202953
166,1.8408495226579488e-06,1.835246865451174e-06,1.8553975246680316e-06,1.763625450381332e-06,0.0009572684649552885
167,1.8426584469438162e-06,1.8369324834275955e-06,1.8572591279409317e-06,1.7651388803251563e-06,0.0009581231120353658
168,1.8429297507442632e-06,1.8371917694429564e-06,1.8575342079336653e-06,1.764973154192242e-06,0.0009582153591368588
169,1.8407003370172554e-06,1.8351835707542618e-06,1.8551489342934557e-06,1.7621113940340815e-06,0.0009567876652900192
170,1.836421742948006e-06,1.8311596931433783e-06,1.8507477201690591e-06,1.7582830718024628e-06,0.0009546142690915255
171,1.8331396599981797e-06,1.828151982516029e-06,1.8472644347172106e-06,1.756042164451609e-06,0.0009526725986828808
172,1.8330640324762822e-06,1.8281522851932859e-06,1.8471288817166963e-06,1.7570281816037718e-06,0.0009523826507667491
173,1.8346916058107426e-06,1.829767026958386e-06,1.8487067700990319e-06,1.761102978236089e-06,0.0009527194663057557
174,1.8374017976793673e-06,1.8322784990354848e-06,1.8515173064513155e-06,1.7632022256554974e-06,0.0009541261131653744
175,1.8388346804525126e-06,1.8336588418755214e-06,1.8529169838046317e-06,1.7649473102068392e-06,0.000954598095379099
176,1.8391301856911442e-06,1.8339526965749046e-06,1.8531985599464308e-06,1.7644177239783957e-06,0.0009546652004363056
177,1.8375487825825534e-06,1.8324981494668136e-06,1.8515422528476485e-06,1.761419460931734e-06,0.0009537421208783868
178,1.8356269558596598e-06,1.8305286810846299e-06,1.8498262826387966e-06,1.7574136225613984e-06,0.0009536057234739525
179,1.8454354553014426e-06,1.8385158952436067e-06,1.8616403021055166e-06,1.7539134609899606e-06,0.000965398639762052
180,1.8711369919289188e-06,1.8590769012457603e-06,1.892610213549345e-06,1.7534595919294697e-06,0.0010005571110474074
181,1.8443906126261379e-06,1.8379099315070648e-06,1.860176272400047e-06,1.7569010853249145e-06,0.0009630054583179786
182,1.8318516310491622e-06,1.8273407990378712e-06,1.8454991894433318e-06,1.7586198429573683e-06,0.0009501215805916188
183,1.832412732214588e-06,1.8278878642286389e-06,1.8460494962451487e-06,1.7601847534099626e-06,0.000950313198449907
184,1.8333884580039605e-06,1.8288009382430798e-06,1.847051066795659e-06,1.7592108944298124e-06,0.0009508047343493376
185,1.8316214590751102e-06,1.827225286282138e-06,1.845106162920019e-06,1.754223989633826e-06,0.0009495180123734589
186,1.8355474058409762e-06,1.8302942911440712e-06,1.850034961279047e-06,1.7497676184791342e-06,0.0009548445223829915
187,1.8351667065966313e-06,1.8297150831752962e-06,1.8498603792321698e-06,1.7458907946906147e-06,0.0009557165744076886
188,1.841273659717919e-06,1.834878262801693e-06,1.8569611561814655e-06,1.7453345117391567e-06,0.0009621433289973794
189,1.8274498483127066e-06,1.8232429858748236e-06,1.8408215052775278e-06,1.7499524278631262e-06,0.0009476403735155521
190,1.8315864792476764e-06,1.8270442992977523e-06,1.8453007551174818e-06,1.752540751450414e-06,0.0009503884286111321
191,1.8320202924170088e-06,1.827599481562512e-06,1.8454562820741198e-06,1.7546456179204714e-06,0.0009495637221751417
192,1.8309862622608248e-06,1.8268210414031013e-06,1.8440863699096325e-06,1.7559119208583466e-06,0.0009481150610982925
193,1.8294951389242999e-06,1.8254795727431773e-06,1.842445388556801e-06,1.7533244071164998e-06,0.0009469893881463512
194,1.831999615055271e-06,1.827373244930442e-06,1.8457105133925376e-06,1.749635618010146e-06,0.0009504690093558347
195,1.8349020854975796e-06,1.8296613550983944e-06,1.8492668891026967e-06,1.748215264866698e-06,0.0009540215642382386
196,1.8806020509713743e-06,1.8664892515729175e-06,1.9046051512189871e-06,1.7586079608875847e-06,0.0010149377808271478
197,1.880377721132526e-06,1.8666585078111308e-06,1.9039338825816463e-06,1.7563606096231246e-06,0.0010107496360666735
198,1.8278852420854103e-06,1.8240601044743685e-06,1.8406799424704318e-06,1.7581251306614642e-06,0.0009457049173191218
199,1.8292642498217492e-06,1.8254762570409944e-06,1.8419192965521331e-06,1.7584990914274374e-06,0.0009460393037040934
200,1.829794445988594e-06,1.8259917796552817e-06,1.8424557780267756e-06,1.757050874807495e-06,0.0009463057168692507
201,1.8282393186632838e-06,1.8245398653022996e-06,1.84085557296112e-06,1.7528278904028056e-06,0.0009453790902265289
202,1.823644571022783e-06,1.8201746796246636e-06,1.8361122586404915e-06,1.7484667755179214e-06,0.000942646893987165
203,1.8418303926945143e-06,1.8355623372947062e-06,1.8573590143013914e-06,1.7468380986733957e-06,0.0009609475197479074
204,1.8453384425796785e-06,1.8385844495061656e-06,1.8614101711569849e-06,1.7500177809127764e-06,0.0009644736173596163
205,1.8268050421633587e-06,1.8229955219980406e-06,1.8397654817249355e-06,1.7502311484474868e-06,0.000945469969253302
206,1.8368378749349807e-06,1.8317369045287233e-06,1.8511443126693256e-06,1.7522961374508384e-06,0.0009541278935808676
207,1.8254986925075257e-06,1.8221254087175082e-06,1.837894141052588e-06,1.7549261908221806e-06,0.0009431431562667232
208,1.8248821185533586e-06,1.8216552180091599e-06,1.8371286233020294e-06,1.7533151386884663e-06,0.0009424441896379993
209,1.8235426589200723e-06,1.820402138601211e-06,1.835728183532855e-06,1.750008728381995e-06,0.0009415914899546536
210,1.8294658491889276e-06,1.825261483874657e-06,1.842848952289067e-06,1.7475748230328046e-06,0.0009478693362152418
211,1.8590871441280126e-06,1.8496472404336121e-06,1.8778098792133415e-06,1.7498158717082498e-06,0.0009820621826751924
212,1.85296133576934e-06,1.8448438268894846e-06,1.8704002992996587e-06,1.7482749194364539e-06,0.0009734196082332115
213,1.827551148003975e-06,1.8237183700827824e-06,1.840533765885886e-06,1.7456347963138173e-06,0.0009457702792750082
214,1.8194671615153405e-06,1.8167115655012635e-06,1.83120388394446e-06,1.7485879282647797e-06,0.0009386391317316745
215,1.823922492420245e-06,1.820787450301021e-06,1.836012738060178e-06,1.7509902038427378e-06,0.0009416604298850291
216,1.8253638389531995e-06,1.8221263951111987e-06,1.837502672781303e-06,1.7502434956922736e-06,0.0009425506418564392
217,1.821700049896364e-06,1.8188386588678976e-06,1.8333813286389978e-06,1.7479994715469983e-06,0.0009397729597572054
218,1.832463961441566e-06,1.8279639978457767e-06,1.8460733613922817e-06,1.7543232322861693e-06,0.0009498709310936049
219,2.130011507325792e-06,2.0264892049398375e-06,2.226771710272576e-06,1.7610403093081747e-06,0.0013425541612729255
220,2.160999877732927e-06,2.048146744047472e-06,2.2718182502732477e-06,1.8886433264372177e-06,0.0023504964504152542
221,2.218281948872397e-06,2.0655520087022417e-06,2.531738560833427e-06,1.999368370688643e-06,0.002295531322337305
222,1.9755833981716338e-06,1.931317214380808e-06,2.0251455231202456e-06,1.8684892250872086e-06,0.0011822471399993435
223,1.8201483983052272e-06,1.8175862244603332e-06,1.8314936656551556e-06,1.7512029024668337e-06,0.0009381613353419197
224,1.819563103986973e-06,1.8170534676810058e-06,1.8308438689752953e-06,1.7527443234670427e-06,0.0009377939209206728
225,1.8181918166841241e-06,1.815775792080435e-06,1.829401114339082e-06,1.7643648001687355e-06,0.0009369877452345164
226,1.8232092349930284e-06,1.819969559699015e-06,1.835471047288656e-06,1.7514552254676943e-06,0.000941554317496758
227,1.9969238054934206e-06,1.94517526377703e-06,2.051841845468764e-06,1.7571398637784298e-06,0.0012001489463633022
228,2.2101335009985428e-06,2.0575468851773983e-06,2.521748889894365e-06,1.8415240431313144e-06,0.002276370143135535
229,2.155430523110241e-06,2.039067306105899e-06,2.31271498262103e-06,1.7799477247037122e-06,0.0023527165579802223
230,2.2732976863741516e-06,2.118103408260038e-06,2.413072068790942e-06,1.755018847707392e-06,0.0016205312547806913
231,1.8965146267070018e-06,1.8795751680278402e-06,1.923968830404027e-06,1.7603780332516725e-06,0.0010341406434783826
232,1.8966072147781743e-06,1.8796262851658759e-06,1.924265697241688e-06,1.7749420014056512e-06,0.00103495934192528
233,1.8280350796844422e-06,1.8243686194490787e-06,1.8406742561340311e-06,1.758853335546286e-06,0.0009449013390876569
234,1.8504246743238195e-06,1.8429543831569232e-06,1.867150151312606e-06,1.7786431700775062e-06,0.0009688564389509153
235,2.0356429403173523e-06,1.9674258751312104e-06,2.102386651794174e-06,2.0224449846979823e-06,0.001225950348885211
