,KE0 0,KE0 1,KE0 2,KE0 3,KE0 4,KE0 5,KE0 6,KE0 7,KE0 8,KE1 0
58,32.116778486275315,68.09724090468528,96.89888342795236,189.2450855109806,191.2634840093285,469.294074249944,528.869049852549,40.640601616729924,140.7887925203809,65.84874299220924
59,31.881622017139467,67.5986383833931,96.18939759643094,187.85944821460316,189.86306816147263,465.8579407805128,524.9967132029778,40.34303440014776,139.7579483042606,65.36660379180033
60,32.00681054658812,67.86407576068207,96.56710137910471,188.59710980698947,190.6085973032135,467.6872100224271,527.0582007413448,40.501448082718106,140.30673129960397,65.62327671136977
61,34.079374505966534,72.25853541336711,102.82019222327534,200.8094972943321,202.95123633446883,497.9717538179991,561.1872443010376,43.124072460635865,149.39213123742277,69.87263601601938
62,30.303956026658085,64.253511440887,91.4294534144443,178.56320029222817,180.46767085936008,442.8049032289734,499.01718621750734,38.346654376204285,132.84200902674982,62.13192935584616
63,24.667052496807994,52.30157865931275,74.42246567229036,145.34827834793998,146.8984942806962,360.43781822361694,406.1939344951634,31.213711363053893,108.13178343981535,50.57463658541479
64,24.138327083968434,51.1805215823724,72.82725891249562,142.23281376274164,143.74980162501222,352.7120214642379,397.4873792333755,30.54466172979021,105.81403502428445,49.49059561167889
65,28.750439170325265,60.95958793419428,86.74236909714637,169.4092488632239,171.21608771765713,420.1047356129734,473.4353245718956,36.38083268926028,126.03193115867782,58.94676767313132
66,32.12043696599134,68.10499798326877,96.9099213531813,189.26664275735865,191.2852711750918,469.34753237782644,528.9292942725223,40.64523106039363,140.8048300237033,65.85624394037143
67,31.98388227457698,67.8154609202074,96.49792495290241,188.46200712851814,190.47205368352766,467.35217946535505,526.680639416554,40.472434625812305,140.20622172538233,65.57626708082533
68,32.08084606715301,68.02105335672478,96.79047245225927,189.03335712320586,191.0494974267965,468.76902559430846,528.2773484037801,40.59513269987393,140.6312772856967,65.77507107542952
69,34.09722807471539,72.29639035490862,102.8740578648031,200.91469776286598,203.05755882140087,498.2326322252663,561.4812401619464,43.146664383274356,149.47039507659974,69.90924102796164
70,30.303956026658085,64.253511440887,91.4294534144443,178.56320029222817,180.46767085936008,442.8049032289734,499.01718621750734,38.346654376204285,132.84200902674982,62.13192935584616
71,24.669461954183504,52.30668743444784,74.42973519745317,145.36247584808027,146.91284320465223,360.47302549289424,406.2336111841996,31.216760292676536,108.14234566337934,50.579576674270164
72,24.138327083968434,51.1805215823724,72.82725891249562,142.23281376274164,143.74980162501222,352.7120214642379,397.4873792333755,30.54466172979021,105.81403502428445,49.49059561167889
73,28.772542583054697,61.0064538246227,86.80905685707671,169.53949113624182,171.34771909310575,420.4277132310135,473.7993028860253,36.40880236845742,126.12882483654421,58.992086102085615
74,32.11385569186461,68.09104370046737,96.890065123993,189.22786322081774,191.24607803437138,469.25136604065756,528.8209200096518,40.63690310994152,140.77598000569964,65.84275041303282
75,31.796491376563456,67.41813579213375,95.93255166087589,187.3578239510645,189.35609381099502,464.6140020343992,523.5948614881798,40.235310007724486,139.3847651689002,65.19206120265343
76,31.890336426649046,67.61711555550328,96.21568966528129,187.91079705002645,189.91496465926738,465.9852767381083,525.1402139429206,40.354061622113846,139.79614924626685,65.3844708674901
77,34.17352697160235,72.45816699026743,103.10425772492577,201.36428181040478,203.5119379195693,499.3475205132109,562.7376589873478,43.243213078950795,149.80486291769853,70.06567597220258
