,KE0 0 battery,KE0 1 battery,KE0 10 battery,KE0 11 battery,KE0 12 battery,KE0 2 battery,KE0 3 battery,KE0 4 battery,KE0 5 battery,KE0 6 battery,KE0 7 battery,KE0 8 battery,KE0 9 battery,KE1 0 battery,KE2 0 battery
52,3.462266875661618e-05,3.442014941708908e-05,3.486432041805912e-05,3.4894584097104303e-05,3.501900914022341e-05,3.466546334252915e-05,3.4815122856768613e-05,3.453834439995753e-05,3.4805255047807875e-05,3.479456282961663e-05,3.53644040052014e-05,3.43536356917262e-05,3.475575402735152e-05,554.6637376778974,3.4949992933724087e-05
53,1.3826395852595627e-06,1.3690243185011185e-06,1.3910527571780977e-06,1.3916829980136047e-06,1.4001760646832184e-06,1.383339097695385e-06,1.3915812697382338e-06,1.3877441929163428e-06,1.398643204612274e-06,1.3978560499389495e-06,1.3916866106738082e-06,1.3901147620732315e-06,1.4047292247442305e-06,8.943306136530198e-06,1.3979309100673333e-06
54,3.42099607500775e-05,3.392660182938884e-05,3.441333751876352e-05,3.4487093850830695e-05,3.462696973099092e-05,3.425642760890296e-05,3.441719052219881e-05,3.420355497226e-05,3.452180107499734e-05,3.450346233233873e-05,3.435937301055898e-05,3.438006847723016e-05,3.475857381459959e-05,8.834681245442914e-06,3.459599231947417e-05
55,2.9564353714498277e-05,2.950832701993483e-05,2.9693173308975073e-05,2.971223543511482e-05,2.9911361672700542e-05,2.9559507551782615e-05,2.9696460727981823e-05,2.9614936102087255e-05,2.985318688154873e-05,2.983920983938314e-05,2.967559741296471e-05,2.9405071591227464e-05,2.9891007287718967e-05,8.861049150589865e-06,2.9868843580987565e-05
56,2.786968806170615e-05,2.777071602934571e-05,2.801427092357303e-05,2.8025732635641356e-05,2.8237217194394205e-05,2.7878431789067835e-05,2.8060686842371476e-05,2.7792480746943025e-05,2.8018578738088714e-05,2.8013650134675724e-05,2.8027925780454882e-05,2.773472328895881e-05,2.8062471483294128e-05,8.861823755861255e-06,2.818844914274613e-05
57,2.7582370775846228e-05,2.73840179521144e-05,2.7756436514197303e-05,2.7748073461808952e-05,2.794725831904905e-05,2.759007410713689e-05,2.7752718394445597e-05,2.7667432068231197e-05,2.789477479153654e-05,2.7879243397166427e-05,2.778804186120316e-05,2.778701054008168e-05,2.8092917022904655e-05,8.929933990478303e-06,2.7854809247833256e-05
58,2.8776740032088784e-05,2.8568259650963336e-05,2.8833077153647274e-05,2.8938739770802037e-05,2.908144684026597e-05,2.8723818629577818e-05,2.8908991745967604e-05,2.889149237183711e-05,2.923683174245796e-05,2.9090228889011722e-05,2.905782172529736e-05,2.8511961650633143e-05,2.9057684998440243e-05,575.1556137257792,2.895099834743099e-05
59,2.9602898953435195e-05,2.9611978070479016e-05,2.9709837844475785e-05,2.973961244633143e-05,2.9926429901419962e-05,2.954528958289236e-05,2.975287452575144e-05,2.9455945872738232e-05,2.9794534051837156e-05,2.976800526744665e-05,2.992512291778807e-05,2.934160770848951e-05,2.9678699200885534e-05,914.802015166053,2.9720723451269177e-05
60,3.531875765229938e-05,3.5182927839235865e-05,3.5526480292177433e-05,3.555558186794561e-05,3.570601335723173e-05,3.5315269443872016e-05,3.549985767506577e-05,3.531869259527379e-05,3.55813648536221e-05,3.557546528398236e-05,3.611799759018678e-05,3.516214486839647e-05,3.557604708089825e-05,546.2475676484164,3.5614859849883584e-05
61,1.6062171301076709e-06,1.5980621849695967e-06,1.6132578677975713e-06,1.6132847901763099e-06,1.6212204606086314e-06,1.6067344169389355e-06,1.6130079969795109e-06,1.6082894932268528e-06,1.6167751053907131e-06,1.616298596783958e-06,1.620448112052142e-06,1.6067395855689132e-06,1.6199151225508524e-06,9.223090924429367e-06,1.6184095169413687e-06
